member_id,date,item
1290,13-05-2015,Pineapples
1290,13-05-2015,Butter
3731,26-07-2015,Popcorn
3731,26-07-2015,Coffee
3731,26-07-2015,Cheese
3731,26-07-2015,Chips
3731,26-07-2015,Soda
3731,26-07-2015,Dish Soap
3987,15-06-2015,Onions
3987,15-06-2015,Tomatoes
3987,15-06-2015,Butter
3987,15-06-2015,Soda
3987,15-06-2015,Carrots
1845,09-02-2015,Yogurt
1845,09-02-2015,Bananas
1845,09-02-2015,Corn
1845,09-02-2015,Apples
4312,18-12-2015,Tissues
4312,18-12-2015,Rubbing Alcohol
4312,18-12-2015,Juice
4312,18-12-2015,Pastries
4783,20-01-2015,Wheat
4783,20-01-2015,Cleaning Supplies
4783,20-01-2015,Cakes
4783,20-01-2015,Milk
4689,30-06-2015,Rice
4689,30-06-2015,Watermelons
4689,30-06-2015,Toilet Paper
4689,30-06-2015,Soy Sauce
4689,30-06-2015,Rubbing Alcohol
2416,02-11-2015,Pepper
2416,02-11-2015,Salt
2416,02-11-2015,Celery
2416,02-11-2015,Butter
1398,09-09-2015,Toothbrushes
1398,09-09-2015,Salt
1398,09-09-2015,Milk
1398,09-09-2015,Paper Towels
1398,09-09-2015,Juice
1398,09-09-2015,Frozen Vegetables
1398,09-09-2015,Pepper
2976,02-05-2015,Sugar
2976,02-05-2015,Wipes
2976,02-05-2015,Salt
2976,02-05-2015,Paper Towels
2976,02-05-2015,Baby Bottles
2976,02-05-2015,Pepper
2976,02-05-2015,Garlic
1883,28-08-2015,Shampoo
1883,28-08-2015,Tomatoes
1883,28-08-2015,Frozen Fruit
1883,28-08-2015,Peppers
1883,28-08-2015,Carrots
1755,29-04-2015,Onions
1755,29-04-2015,Watermelons
1755,29-04-2015,Salt
1755,29-04-2015,Milk
1755,29-04-2015,Tomatoes
1755,29-04-2015,Pepper
1966,11-12-2015,Popcorn
1966,11-12-2015,Coffee
1966,11-12-2015,Cookies
1966,11-12-2015,Baby Food
1966,11-12-2015,Brownies
1966,11-12-2015,Peppers
4075,12-10-2015,Diapers
4075,12-10-2015,Toilet Paper
2913,28-06-2015,Toothbrushes
2913,28-06-2015,Watermelons
2913,28-06-2015,Toilet Paper
2913,28-06-2015,Honey
2913,28-06-2015,Eggs
2913,28-06-2015,Pepper
2913,28-06-2015,Tea
2420,24-04-2015,Butter
2420,24-04-2015,Chips
2420,24-04-2015,Toilet Paper
2420,24-04-2015,Bananas
2420,24-04-2015,Rubbing Alcohol
2420,24-04-2015,Peppers
2420,24-04-2015,Soda
3275,11-02-2015,Corn
3275,11-02-2015,Paper Towels
3275,11-02-2015,Pineapples
3275,11-02-2015,Frozen Fruit
4990,28-02-2015,Celery
4990,28-02-2015,Olive Oil
4990,28-02-2015,Paper Towels
4990,28-02-2015,Pineapples
4990,28-02-2015,Eggs
1060,30-05-2015,Skincare Products
1060,30-05-2015,Corn
1353,02-09-2015,Olive Oil
1353,02-09-2015,Mustard
1353,02-09-2015,Celery
1353,02-09-2015,Peppers
1915,22-09-2015,Sugar
1915,22-09-2015,Oranges
1915,22-09-2015,Bleach
1915,22-09-2015,Frozen Fruit
3854,28-02-2015,Wheat
3854,28-02-2015,Cleaning Supplies
3854,28-02-2015,Popcorn
3854,28-02-2015,Chips
3854,28-02-2015,Pasta
3854,28-02-2015,Garlic
1543,29-03-2015,Celery
1543,29-03-2015,Diapers
1543,29-03-2015,Pasta
1543,29-03-2015,Tomato Sauce
1543,29-03-2015,Tissues
1543,29-03-2015,Baby Food
1543,29-03-2015,Ice Cream
1543,29-03-2015,Soda
1543,29-03-2015,Carrots
2682,09-04-2015,Coffee
2682,09-04-2015,Honey
2682,09-04-2015,Pastries
2682,09-04-2015,Pepper
2682,09-04-2015,Tea
1872,28-12-2015,Celery
1872,28-12-2015,Watermelons
1872,28-12-2015,Broccoli
1872,28-12-2015,Peppers
1872,28-12-2015,Vinegar
1872,28-12-2015,Bleach
1872,28-12-2015,Carrots
1306,05-03-2015,Rice
1306,05-03-2015,Olive Oil
1306,05-03-2015,Skincare Products
1306,05-03-2015,Frozen Vegetables
1395,26-07-2015,Bleach
1395,26-07-2015,Bread
3290,05-12-2015,Popcorn
3290,05-12-2015,Skincare Products
3290,05-12-2015,Frozen Fruit
3290,05-12-2015,Ice Cream
3290,05-12-2015,Pepper
2579,25-01-2015,Yogurt
2579,25-01-2015,Apples
2579,25-01-2015,Broccoli
2579,25-01-2015,Juice
2579,25-01-2015,Chips
2579,25-01-2015,Bananas
2579,25-01-2015,Pastries
2579,25-01-2015,Soda
1082,29-03-2015,Crackers
1082,29-03-2015,Rubbing Alcohol
1082,29-03-2015,Soda
1082,29-03-2015,Canned Fish
1082,29-03-2015,Corn
4232,05-01-2015,Rubbing Alcohol
4232,05-01-2015,Garlic
4232,05-01-2015,Coffee
4782,04-10-2015,Shampoo
4782,04-10-2015,Broccoli
4782,04-10-2015,Honey
4782,04-10-2015,Pepper
4782,04-10-2015,Tea
4782,04-10-2015,Carrots
1208,12-01-2015,Popcorn
1208,12-01-2015,Toothbrushes
1208,12-01-2015,Toothpaste
1208,12-01-2015,Broccoli
1208,12-01-2015,Toilet Paper
3681,25-07-2015,Apples
3681,25-07-2015,Tomatoes
3681,25-07-2015,Salt
3681,25-07-2015,Butter
3681,25-07-2015,Canned Fish
3681,25-07-2015,Tea
3160,14-10-2015,Bread
3160,14-10-2015,Popcorn
3160,14-10-2015,Shampoo
3160,14-10-2015,Olive Oil
3160,14-10-2015,Skincare Products
3160,14-10-2015,Chips
3160,14-10-2015,Jam
3160,14-10-2015,Corn
4629,18-12-2015,Cookies
4629,18-12-2015,Celery
4629,18-12-2015,Coffee
4629,18-12-2015,Watermelons
4629,18-12-2015,Tomatoes
4629,18-12-2015,Carrots
2724,31-12-2015,Canned Fish
2724,31-12-2015,Celery
2724,31-12-2015,Pasta
1705,21-09-2015,Bananas
1705,21-09-2015,Rubbing Alcohol
1705,21-09-2015,Oranges
1633,25-09-2015,Popcorn
1633,25-09-2015,Cookies
1633,25-09-2015,Apples
1633,25-09-2015,Olive Oil
1633,25-09-2015,Oranges
1633,25-09-2015,Garlic
2606,14-05-2015,Wipes
2606,14-05-2015,Juice
3756,05-11-2015,Crackers
3756,05-11-2015,Rice
3756,05-11-2015,Olive Oil
3756,05-11-2015,Salt
3756,05-11-2015,Butter
3756,05-11-2015,Carrots
3912,12-12-2015,Milk
3912,12-12-2015,Coffee
3912,12-12-2015,Pineapples
3106,18-12-2015,Popcorn
3106,18-12-2015,Watermelons
3106,18-12-2015,Milk
3106,18-12-2015,Pineapples
3106,18-12-2015,Soda
3106,18-12-2015,Eggs
4670,21-01-2015,Toothbrushes
4670,21-01-2015,Toothpaste
4670,21-01-2015,Frozen Fruit
4670,21-01-2015,Baby Bottles
4670,21-01-2015,Canned Fish
3733,24-12-2015,Olive Oil
3733,24-12-2015,Skincare Products
3733,24-12-2015,Milk
3733,24-12-2015,Pineapples
3733,24-12-2015,Peppers
3733,24-12-2015,Soda
3733,24-12-2015,Eggs
3509,15-11-2015,Popcorn
3509,15-11-2015,Chips
3509,15-11-2015,Baby Food
3509,15-11-2015,Soy Sauce
3509,15-11-2015,Frozen Vegetables
3509,15-11-2015,Tea
3277,16-06-2015,Shampoo
3277,16-06-2015,Cakes
1175,08-04-2015,Olive Oil
1175,08-04-2015,Broccoli
1175,08-04-2015,Frozen Vegetables
1175,08-04-2015,Butter
1175,08-04-2015,Garlic
1175,08-04-2015,Corn
3524,17-09-2015,Coffee
3524,17-09-2015,Tomato Sauce
3524,17-09-2015,Baby Bottles
3524,17-09-2015,Pasta
3524,17-09-2015,Canned Fish
1105,03-03-2015,Wheat
1105,03-03-2015,Rice
1105,03-03-2015,Soy Sauce
1105,03-03-2015,Rubbing Alcohol
1105,03-03-2015,Pastries
1105,03-03-2015,Garlic
2866,27-06-2015,Tomato Sauce
2866,27-06-2015,Tissues
2866,27-06-2015,Rubbing Alcohol
2866,27-06-2015,Baby Bottles
2866,27-06-2015,Pasta
4900,08-07-2015,Toothbrushes
4900,08-07-2015,Toothpaste
4900,08-07-2015,Watermelons
4900,08-07-2015,Tomatoes
4900,08-07-2015,Juice
4900,08-07-2015,Oranges
4900,08-07-2015,Soda
4147,31-01-2015,Wheat
4147,31-01-2015,Yogurt
4147,31-01-2015,Cookies
4147,31-01-2015,Granola
4147,31-01-2015,Apples
4147,31-01-2015,Bananas
4147,31-01-2015,Soy Sauce
4147,31-01-2015,Rubbing Alcohol
4147,31-01-2015,Tea
1226,14-06-2015,Yogurt
1226,14-06-2015,Watermelons
1226,14-06-2015,Diapers
1265,04-07-2015,Crackers
1265,04-07-2015,Watermelons
1265,04-07-2015,Frozen Fruit
1265,04-07-2015,Honey
1265,04-07-2015,Ice Cream
1265,04-07-2015,Tea
3937,30-11-2015,Peppers
3937,30-11-2015,Frozen Fruit
3937,30-11-2015,Pasta
3937,30-11-2015,Ice Cream
3937,30-11-2015,Pastries
3937,30-11-2015,Garlic
2250,25-10-2015,Wipes
2250,25-10-2015,Frozen Fruit
2250,25-10-2015,Tomato Sauce
2250,25-10-2015,Honey
2250,25-10-2015,Rubbing Alcohol
2250,25-10-2015,Pasta
2250,25-10-2015,Ice Cream
2250,25-10-2015,Canned Fish
2635,23-04-2015,Brownies
2635,23-04-2015,Salt
1404,18-03-2015,Yogurt
1404,18-03-2015,Coffee
1404,18-03-2015,Rice
1404,18-03-2015,Paper Towels
1404,18-03-2015,Toilet Paper
1404,18-03-2015,Tomato Sauce
1404,18-03-2015,Pasta
2829,19-03-2015,Soda
2829,19-03-2015,Olive Oil
2829,19-03-2015,Toothbrushes
2829,19-03-2015,Toothpaste
4469,12-08-2015,Tea
4469,12-08-2015,Juice
4469,12-08-2015,Toilet Paper
2061,09-01-2015,Coffee
2061,09-01-2015,Cakes
2061,09-01-2015,Rice
2061,09-01-2015,Cookies
2061,09-01-2015,Juice
3512,29-08-2015,Toothbrushes
3512,29-08-2015,Toothpaste
3512,29-08-2015,Baby Food
3512,29-08-2015,Pineapples
3512,29-08-2015,Butter
3512,29-08-2015,Bread
3360,30-09-2015,Yogurt
3360,30-09-2015,Rice
3360,30-09-2015,Apples
3360,30-09-2015,Olive Oil
3360,30-09-2015,Milk
3360,30-09-2015,Bananas
3360,30-09-2015,Soy Sauce
3360,30-09-2015,Pineapples
4440,01-03-2015,Canned Fish
4440,01-03-2015,Rice
4440,01-03-2015,Mustard
4440,01-03-2015,Rubbing Alcohol
4440,01-03-2015,Pepper
4440,01-03-2015,Bleach
2671,08-01-2015,Wheat
2671,08-01-2015,Yogurt
2671,08-01-2015,Toothbrushes
2671,08-01-2015,Toothpaste
2671,08-01-2015,Rice
2671,08-01-2015,Soy Sauce
1674,01-04-2015,Paper Towels
1674,01-04-2015,Honey
1674,01-04-2015,Pineapples
1674,01-04-2015,Butter
1674,01-04-2015,Eggs
1674,01-04-2015,Bread
1851,26-12-2015,Ice Cream
1851,26-12-2015,Watermelons
4913,08-08-2015,Coffee
4913,08-08-2015,Tissues
4913,08-08-2015,Bananas
4913,08-08-2015,Baby Food
4913,08-08-2015,Pastries
4913,08-08-2015,Garlic
3677,15-01-2015,Chips
3677,15-01-2015,Frozen Fruit
3677,15-01-2015,Soy Sauce
3677,15-01-2015,Soda
3677,15-01-2015,Ice Cream
3677,15-01-2015,Vinegar
3677,15-01-2015,Dish Soap
2142,01-02-2015,Wipes
2142,01-02-2015,Diapers
2142,01-02-2015,Pineapples
2142,01-02-2015,Toilet Paper
2413,17-03-2015,Yogurt
2413,17-03-2015,Crackers
2413,17-03-2015,Broccoli
2413,17-03-2015,Soda
2413,17-03-2015,Bread
3594,08-09-2015,Onions
3594,08-09-2015,Tomatoes
3594,08-09-2015,Peppers
3594,08-09-2015,Vinegar
3594,08-09-2015,Corn
1471,24-11-2015,Sugar
1471,24-11-2015,Coffee
1471,24-11-2015,Watermelons
1471,24-11-2015,Broccoli
1471,24-11-2015,Butter
1471,24-11-2015,Canned Fish
1471,24-11-2015,Bread
3177,09-12-2015,Crackers
3177,09-12-2015,Cleaning Supplies
3177,09-12-2015,Diapers
3177,09-12-2015,Juice
3177,09-12-2015,Paper Towels
3177,09-12-2015,Tomato Sauce
3177,09-12-2015,Baby Food
3177,09-12-2015,Pasta
3177,09-12-2015,Soda
3744,29-03-2015,Ice Cream
3744,29-03-2015,Cakes
3744,29-03-2015,Frozen Fruit
3744,29-03-2015,Dish Soap
1170,20-01-2015,Vinegar
1170,20-01-2015,Corn
1170,20-01-2015,Mustard
2421,04-04-2015,Ice Cream
2421,04-04-2015,Bananas
2421,04-04-2015,Frozen Fruit
2421,04-04-2015,Apples
4921,13-09-2015,Butter
4921,13-09-2015,Corn
4921,13-09-2015,Peppers
4351,01-04-2015,Frozen Vegetables
4351,01-04-2015,Peppers
1136,28-07-2015,Popcorn
1136,28-07-2015,Toothpaste
1136,28-07-2015,Celery
1136,28-07-2015,Salt
1136,28-07-2015,Pineapples
1136,28-07-2015,Bleach
3531,27-01-2015,Wipes
3531,27-01-2015,Cakes
3531,27-01-2015,Baby Bottles
3531,27-01-2015,Toilet Paper
3037,15-09-2015,Sugar
3037,15-09-2015,Juice
3037,15-09-2015,Butter
3988,20-05-2015,Brownies
3988,20-05-2015,Oranges
3988,20-05-2015,Butter
2589,01-08-2015,Honey
2589,01-08-2015,Rubbing Alcohol
2589,01-08-2015,Canned Fish
2589,01-08-2015,Tea
3841,17-09-2015,Soda
3841,17-09-2015,Bananas
3841,17-09-2015,Cakes
3841,17-09-2015,Pineapples
4238,09-12-2015,Sugar
4238,09-12-2015,Salt
4238,09-12-2015,Corn
4238,09-12-2015,Dish Soap
4610,12-05-2015,Skincare Products
4610,12-05-2015,Bleach
2557,06-08-2015,Celery
2557,06-08-2015,Rice
2557,06-08-2015,Mustard
2557,06-08-2015,Baby Food
2557,06-08-2015,Frozen Vegetables
2557,06-08-2015,Vinegar
1319,25-06-2015,Coffee
1319,25-06-2015,Cookies
1319,25-06-2015,Toothpaste
1319,25-06-2015,Pasta
4432,13-10-2015,Apples
4432,13-10-2015,Tomatoes
4432,13-10-2015,Baby Bottles
4432,13-10-2015,Oranges
4432,13-10-2015,Peppers
4432,13-10-2015,Soda
2247,14-09-2015,Baby Food
2247,14-09-2015,Broccoli
2247,14-09-2015,Chips
4290,19-10-2015,Sugar
4290,19-10-2015,Peppers
3825,05-10-2015,Popcorn
3825,05-10-2015,Toothbrushes
3825,05-10-2015,Cakes
3825,05-10-2015,Chips
3825,05-10-2015,Butter
3825,05-10-2015,Pastries
1010,24-02-2015,Juice
1010,24-02-2015,Mustard
1010,24-02-2015,Baby Food
1010,24-02-2015,Brownies
1010,24-02-2015,Oranges
1010,24-02-2015,Dish Soap
3990,26-02-2015,Frozen Fruit
3990,26-02-2015,Baby Food
3990,26-02-2015,Milk
4580,18-02-2015,Sugar
4580,18-02-2015,Celery
4580,18-02-2015,Wipes
4580,18-02-2015,Broccoli
4580,18-02-2015,Baby Bottles
4580,18-02-2015,Pineapples
4580,18-02-2015,Carrots
3201,02-04-2015,Apples
3201,02-04-2015,Milk
3201,02-04-2015,Jam
3201,02-04-2015,Soda
3201,02-04-2015,Garlic
3201,02-04-2015,Bread
3201,02-04-2015,Dish Soap
3590,06-01-2015,Crackers
3590,06-01-2015,Baby Food
3590,06-01-2015,Bleach
3590,06-01-2015,Mustard
4404,10-08-2015,Wipes
4404,10-08-2015,Paper Towels
4681,23-06-2015,Wheat
4681,23-06-2015,Cheese
4681,23-06-2015,Wine
4681,23-06-2015,Olive Oil
4681,23-06-2015,Diapers
4681,23-06-2015,Baby Food
4681,23-06-2015,Oranges
4681,23-06-2015,Dish Soap
1231,03-03-2015,Toothbrushes
1231,03-03-2015,Coffee
1231,03-03-2015,Cookies
1231,03-03-2015,Watermelons
1231,03-03-2015,Oranges
3818,05-08-2015,Cleaning Supplies
3818,05-08-2015,Bananas
3818,05-08-2015,Bleach
3818,05-08-2015,Brownies
3818,05-08-2015,Pineapples
3818,05-08-2015,Eggs
3818,05-08-2015,Canned Fish
4538,03-06-2015,Cakes
4538,03-06-2015,Rice
4538,03-06-2015,Pasta
4538,03-06-2015,Garlic
4538,03-06-2015,Tea
2708,23-07-2015,Coffee
2708,23-07-2015,Baby Food
2708,23-07-2015,Cookies
2708,23-07-2015,Pastries
1436,06-04-2015,Wheat
1436,06-04-2015,Skincare Products
1436,06-04-2015,Milk
1436,06-04-2015,Honey
1436,06-04-2015,Eggs
1672,07-05-2015,Crackers
1672,07-05-2015,Coffee
1672,07-05-2015,Cheese
1672,07-05-2015,Frozen Fruit
1672,07-05-2015,Ice Cream
1942,10-05-2015,Juice
1942,10-05-2015,Paper Towels
1942,10-05-2015,Pasta
1585,08-10-2015,Toothbrushes
1585,08-10-2015,Rice
1585,08-10-2015,Olive Oil
1585,08-10-2015,Baby Food
1585,08-10-2015,Butter
3095,03-07-2015,Bread
3095,03-07-2015,Skincare Products
3095,03-07-2015,Oranges
3095,03-07-2015,Peppers
4756,08-10-2015,Popcorn
4756,08-10-2015,Coffee
4756,08-10-2015,Cookies
4756,08-10-2015,Brownies
4756,08-10-2015,Eggs
4756,08-10-2015,Pepper
4344,05-03-2015,Toothbrushes
4344,05-03-2015,Brownies
4344,05-03-2015,Broccoli
4344,05-03-2015,Paper Towels
1842,20-04-2015,Cleaning Supplies
1842,20-04-2015,Frozen Fruit
1842,20-04-2015,Peppers
1842,20-04-2015,Ice Cream
1842,20-04-2015,Bleach
1842,20-04-2015,Corn
4858,09-12-2015,Soy Sauce
4858,09-12-2015,Pineapples
4858,09-12-2015,Rice
2440,03-05-2015,Vinegar
2440,03-05-2015,Broccoli
2440,03-05-2015,Frozen Fruit
2700,19-01-2015,Toothpaste
2700,19-01-2015,Salt
2700,19-01-2015,Eggs
2700,19-01-2015,Pepper
2700,19-01-2015,Canned Fish
2507,18-05-2015,Sugar
2507,18-05-2015,Shampoo
2507,18-05-2015,Coffee
2507,18-05-2015,Wipes
2507,18-05-2015,Skincare Products
2507,18-05-2015,Bleach
4184,31-07-2015,Yogurt
4184,31-07-2015,Cleaning Supplies
4184,31-07-2015,Cakes
4184,31-07-2015,Granola
4184,31-07-2015,Baby Food
4184,31-07-2015,Pastries
4184,31-07-2015,Carrots
4870,22-03-2015,Soda
4870,22-03-2015,Tea
4870,22-03-2015,Rice
4241,28-04-2015,Olive Oil
4241,28-04-2015,Popcorn
4241,28-04-2015,Rice
4692,03-06-2015,Shampoo
4692,03-06-2015,Wipes
4692,03-06-2015,Conditioner
4692,03-06-2015,Soy Sauce
4692,03-06-2015,Garlic
4692,03-06-2015,Tea
4692,03-06-2015,Dish Soap
2605,09-05-2015,Diapers
2605,09-05-2015,Mustard
2605,09-05-2015,Juice
2605,09-05-2015,Bananas
2605,09-05-2015,Brownies
2605,09-05-2015,Frozen Vegetables
2910,16-10-2015,Yogurt
2910,16-10-2015,Cheese
2910,16-10-2015,Toothpaste
2910,16-10-2015,Wine
2910,16-10-2015,Apples
2910,16-10-2015,Watermelons
2910,16-10-2015,Soy Sauce
3359,28-08-2015,Wipes
3359,28-08-2015,Corn
3359,28-08-2015,Celery
2990,29-03-2015,Canned Fish
2990,29-03-2015,Juice
1636,18-07-2015,Crackers
1636,18-07-2015,Pepper
1636,18-07-2015,Watermelons
1636,18-07-2015,Bleach
2012,26-06-2015,Wheat
2012,26-06-2015,Pepper
2012,26-06-2015,Oranges
2012,26-06-2015,Mustard
1327,01-03-2015,Crackers
1327,01-03-2015,Pepper
1327,01-03-2015,Canned Fish
1327,01-03-2015,Cookies
1482,07-03-2015,Popcorn
1482,07-03-2015,Toothbrushes
1482,07-03-2015,Toothpaste
1482,07-03-2015,Wipes
1482,07-03-2015,Skincare Products
1482,07-03-2015,Chips
1482,07-03-2015,Canned Fish
1482,07-03-2015,Bread
4018,03-09-2015,Wheat
4018,03-09-2015,Onions
4018,03-09-2015,Toothbrushes
4018,03-09-2015,Toothpaste
4018,03-09-2015,Watermelons
4018,03-09-2015,Tomatoes
3500,02-04-2015,Rice
3500,02-04-2015,Pastries
3500,02-04-2015,Soda
3500,02-04-2015,Pepper
3500,02-04-2015,Dish Soap
4846,19-10-2015,Soda
4846,19-10-2015,Broccoli
4846,19-10-2015,Chips
3889,11-12-2015,Sugar
3889,11-12-2015,Yogurt
3889,11-12-2015,Shampoo
3889,11-12-2015,Granola
3889,11-12-2015,Skincare Products
3889,11-12-2015,Salt
3889,11-12-2015,Peppers
3889,11-12-2015,Pepper
3833,05-09-2015,Rice
3833,05-09-2015,Apples
3833,05-09-2015,Olive Oil
3833,05-09-2015,Broccoli
3833,05-09-2015,Rubbing Alcohol
3833,05-09-2015,Baby Bottles
3833,05-09-2015,Oranges
3442,11-07-2015,Wheat
3442,11-07-2015,Soda
3442,11-07-2015,Rubbing Alcohol
3422,19-11-2015,Popcorn
3422,19-11-2015,Skincare Products
3422,19-11-2015,Frozen Fruit
3422,19-11-2015,Butter
3422,19-11-2015,Bread
4237,19-07-2015,Popcorn
4237,19-07-2015,Oranges
4237,19-07-2015,Coffee
4237,19-07-2015,Rice
3994,31-07-2015,Shampoo
3994,31-07-2015,Skincare Products
3994,31-07-2015,Pasta
3994,31-07-2015,Pepper
3994,31-07-2015,Garlic
3994,31-07-2015,Corn
2214,01-04-2015,Olive Oil
2214,01-04-2015,Diapers
2214,01-04-2015,Chips
2214,01-04-2015,Toilet Paper
2214,01-04-2015,Baby Food
2214,01-04-2015,Soda
4837,11-08-2015,Watermelons
4837,11-08-2015,Diapers
4837,11-08-2015,Paper Towels
1473,24-04-2015,Olive Oil
1473,24-04-2015,Vinegar
1473,24-04-2015,Oranges
1473,24-04-2015,Apples
3172,01-07-2015,Sugar
3172,01-07-2015,Corn
2896,10-05-2015,Toothbrushes
2896,10-05-2015,Soy Sauce
2896,10-05-2015,Brownies
2896,10-05-2015,Frozen Vegetables
2896,10-05-2015,Corn
2896,10-05-2015,Carrots
4792,12-09-2015,Shampoo
4792,12-09-2015,Cookies
4792,12-09-2015,Olive Oil
4792,12-09-2015,Skincare Products
4792,12-09-2015,Brownies
2242,26-02-2015,Yogurt
2242,26-02-2015,Cheese
2242,26-02-2015,Apples
2242,26-02-2015,Bananas
2242,26-02-2015,Baby Food
3148,27-04-2015,Tomato Sauce
3148,27-04-2015,Pastries
3148,27-04-2015,Pasta
1355,24-06-2015,Cleaning Supplies
1355,24-06-2015,Cheese
1355,24-06-2015,Wine
1355,24-06-2015,Soy Sauce
1355,24-06-2015,Frozen Vegetables
1355,24-06-2015,Bleach
3033,07-12-2015,Rubbing Alcohol
3033,07-12-2015,Toothbrushes
3033,07-12-2015,Toothpaste
1399,16-07-2015,Wheat
1399,16-07-2015,Onions
1399,16-07-2015,Tomatoes
1399,16-07-2015,Baby Food
1399,16-07-2015,Soy Sauce
